States,Composite_Index_Score,Composite_Index_Rank,Composite_Index_Grade,Median_Annual_Earnings,MedianAnnualEarnings_Rank,Earnings_Ratio_by_Gender,Ratio_Rank,Percent_of_Women_in_labor_Force,Percent_of_Women_in_labor_Force_Rank,Women_with_Managerial_or_Proffessional_Job,Rank
,Composite_Index,,,MedianAnnualEarnings,,EarningsRatiobyGender,,Percent_of_Women_in_labor_Force,,Women_with_Managerial_or_Proffessional_Job,
State,Score,Rank,Grade,Dollars,Rank,Percent,Rank,Percent,Rank,Percent,Rank
Alabama,3.69,46,D-,"$33,000.00",41,76.00%,39,52.60%,50,38.50%,29
Alaska,4.32,7,B,"$43,000.00",7,76.80%,36,68.30%,1,42.00%,12
Arizona,3.86,34,C-,"$36,000.00",22,81.80%,17,54.30%,48,37.90%,37
Arkansas,3.58,47,F,"$30,000.00",48,75.00%,44,53.60%,49,37.10%,40
California,4.13,15,B-,"$42,000.00",9,84.00%,6,57.20%,38,39.60%,22
Colorado,4.2,12,B,"$40,000.00",13,80.00%,19,62.70%,11,42.60%,10
Connecticut,4.35,5,B,"$46,000.00",5,76.70%,38,62.60%,14,43.90%,6
Delaware,4.2,12,B,"$41,000.00",11,82.20%,16,58.90%,27,43.00%,8
District_of_Columbia,5.33,1,A,"$60,000.00",1,87.00%,3,64.40%,7,61.90%,1
Florida,3.82,37,D+,"$34,000.00",36,85.00%,5,54.40%,45,36.90%,43
Georgia,3.94,26,C,"$35,000.00",27,82.40%,15,58.10%,33,39.40%,23
Hawaii,4.05,18,C+,"$40,000.00",13,83.30%,9,59.40%,23,37.00%,42
Idaho,3.54,50,F,"$30,000.00",48,75.00%,44,56.40%,40,33.60%,50
Illinois,4.11,16,B-,"$40,000.00",13,80.00%,19,61.20%,19,40.10%,19
Indiana,3.76,39,D,"$34,000.00",36,75.60%,42,58.60%,31,36.50%,45
Iowa,3.93,27,C,"$35,000.00",27,77.80%,29,62.70%,11,38.10%,34
Kansas,3.99,21,C+,"$35,000.00",27,77.80%,29,61.30%,17,41.70%,13
Kentucky,3.73,43,D,"$33,200.00",40,77.60%,32,54.40%,45,37.70%,38
Louisiana,3.56,49,F,"$32,000.00",43,66.70%,51,55.70%,43,37.10%,40
Maine,4.03,19,C+,"$36,000.00",22,83.70%,8,60.40%,21,39.70%,21
Maryland,4.72,2,B+,"$49,800.00",2,87.40%,2,65.00%,6,47.80%,2
Massachusetts,4.57,3,B+,"$48,500.00",3,80.80%,18,63.30%,9,47.50%,3
Michigan,3.85,36,C-,"$37,000.00",21,77.10%,33,57.60%,37,36.70%,44
Minnesota,4.24,10,B,"$40,000.00",13,80.00%,19,66.40%,2,41.50%,14
Mississippi,3.57,48,F,"$30,000.00",48,75.00%,44,54.40%,45,36.00%,48
Missouri,3.88,30,C-,"$34,000.00",36,79.10%,25,59.90%,22,38.30%,32
Montana,3.7,45,D-,"$31,600.00",46,75.20%,43,59.00%,26,36.20%,47
Nebraska,3.87,31,C-,"$32,900.00",42,73.10%,47,65.20%,5,38.70%,28
Nevada,3.75,41,D,"$35,000.00",27,82.70%,11,59.20%,24,31.00%,51
New_Hampshire,4.2,12,B,"$40,000.00",13,76.90%,34,62.70%,11,44.20%,5
New_Jersey,4.39,4,B,"$48,000.00",4,80.00%,19,60.50%,20,43.20%,7
New_Mexico,3.87,31,C-,"$35,000.00",27,82.70%,11,54.50%,44,39.00%,24
New_York,4.34,6,B,"$43,800.00",6,87.60%,1,58.90%,27,42.80%,9
North_Carolina,3.97,23,C+,"$35,000.00",27,83.30%,9,58.10%,33,40.30%,18
North_Dakota,3.95,25,C,"$35,000.00",27,75.80%,41,65.30%,4,38.40%,30
Ohio,3.89,29,C,"$36,000.00",22,76.80%,36,59.10%,25,38.40%,30
Oklahoma,3.78,38,D+,"$32,000.00",43,80.00%,19,55.80%,42,38.80%,26
Oregon,4,20,C+,"$38,000.00",19,82.60%,14,57.70%,36,38.80%,26
Pennsylvania,3.97,23,C+,"$38,000.00",19,76.00%,39,58.60%,31,40.50%,17
Rhode_Island,4.24,10,B,"$43,000.00",7,82.70%,11,62.30%,16,40.10%,19
South_Carolina,3.73,43,D,"$32,000.00",43,80.00%,19,56.80%,39,36.40%,46
South_Dakota,3.74,42,D,"$30,000.00",48,76.90%,34,65.50%,3,34.20%,49
Tennessee,3.86,34,C-,"$33,500.00",39,83.80%,7,56.30%,41,38.10%,34
Texas,3.87,31,C-,"$35,000.00",27,77.80%,29,58.10%,33,38.90%,25
Utah,3.76,39,D,"$35,000.00",27,70.00%,48,58.70%,29,38.00%,36
Vermont,4.25,8,B,"$38,900.00",18,86.40%,4,62.50%,15,42.60%,10
Virginia,4.25,8,B,"$41,000.00",11,78.80%,26,61.30%,17,45.10%,4
Washington,4.09,17,B-,"$41,300.00",10,77.90%,28,58.70%,29,40.60%,16
West_Virginia,3.43,51,F,"$30,300.00",47,67.30%,50,49.30%,51,37.40%,39
Wisconsin,3.98,22,C+,"$36,000.00",22,78.30%,27,63.40%,8,38.20%,33
Wyoming,3.91,28,C,"$36,000.00",22,67.90%,49,62.80%,10,41.30%,15
United_States,,,,"$38,000.00",,79.20%,,58.60%,,39.90%,